id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
178897;"RodrigoPacheco";pmdb;MG;sim;sim;sim;não;sim;sim;não votou;não votou;sim;não votou;sim;sim;sim;sim;não votou;não votou;sim;não;sim
160651;"RogérioPeninhaMendonça";pmdb;SC;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim
160515;"RonaldoBenedet";pmdb;SC;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim
178870;"RoneyNemer";pmdb;DF;sim;sim;não;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim
74762;"SaraivaFelipe";pmdb;MG;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;não;sim;não votou;sim
178933;"SergioSouza";pmdb;PR;sim;sim;sim;sim;sim;sim;não;sim;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim
74765;"SilasBrasileiro";pmdb;MG;não votou;sim;não votou;não;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;não votou;sim
178911;"SimoneMorgado";pmdb;PA;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;não;não;não;não votou
178946;"SorayaSantos";pmdb;RJ;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;não votou;não votou;sim;sim;sim;sim;sim;sim;sim
74010;"ValdirColatto";pmdb;SC;não votou;sim;não votou;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;sim;sim;não votou;não votou;sim
178913;"VenezianoVitaldoRêgo";pmdb;PB;sim;sim;sim;sim;não;sim;sim;não;sim;sim;não;sim;sim;não votou;sim;sim;sim;sim;sim
178869;"VitorValim";pmdb;CE;sim;não votou;sim;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não
178952;"WalterAlves";pmdb;RN;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
160620;"WashingtonReis";pmdb;RJ;sim;sim;não votou;sim;sim;sim;não votou;não votou;sim;não votou;sim;não votou;sim;não votou;não;não;não votou;sim;sim
178950;"AntônioJácome";pmn;RN;não;sim;sim;não votou;não;não;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;não votou
178892;"DâminaPereira";pmn;MG;não;sim;sim;não votou;sim;sim;sim;não;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
